        72       134        20         1
        73       134        20         1
       129       134        33         1
       130       134        33         1
       187       134        53         1
       188       134        53         1
       526       134       117         1
       527       134       117         1
       528       134       117         1
       624       134       134         1
       625       134       134         1
       626       134       134         1
       627       134       134         1
       874       134       178         1
       875       134       178         1
      1012       134       192         1
      1013       134       192         1
      1157       134       218         1
      1158       134       218         1
      1214       134       227         1
      1215       134       227         1
      1318       134       244         1
      1319       134       244         1
      1406       134       257         1
      1407       134       257         1
      1408       134       257         1
      1409       134       257         1
      1410       134       257         1
      1411       134       257         1
      1412       134       257         1
      1413       134       257         1
      1414       134       257         1
      1415       134       257         1
      1416       134       257         1
      1417       134       257         1
      1418       134       257         1
      1419       134       257         1
      1443       134       260         1
      1444       134       260         1
      1631       134       278         1
      1632       134       278         1
      1633       134       278         1
      1634       134       278         1
      1635       134       279         1
      1636       134       279         1
      1637       134       279         1
      1623       134       280         1
      1624       134       280         1
      1625       134       281         1
      1626       134       281         1
      1691       134       286         1
      1692       134       286         1
      1680       134       288         1
      1681       134       288         1
      1671       134       290         1
      1672       134       290         1
      1673       134       290         1
      1674       134       290         1
      1675       134       290         1
      1676       134       290         1
      1772       134       299         1
      1773       134       299         1
      1747       134       302         1
      1748       134       302         1
      1749       134       302         1
      1750       134       302         1
      1751       134       302         1
      1752       134       302         1
      1753       134       302         1
      1984       134       315         1
      1985       134       315         1
      9148        55      1118         0
      9149        55      1118         0
      9150        55      1118         0
     26858       262      3383         1
     35646       134      4499         1
     35647       134      4499         1
     35962       134      4603         1
     35963       134      4603         1
     36098       134      4640         1
     36099       134      4640         1
     36119       134      4645         1
     36120       134      4645         1
